gene_id,SRR1778917,SRR1778919,SRR1778921,SRR1778922,SRR1778923,SRR1778925,SRR1778927,SRR1778929,SRR1778930,SRR1778931,SRR1778932
gene-RGQ29_000189,123,92,403,577,141,600,375,256,187,556,167
gene-RGQ29_000191,69,251,388,472,91,91,282,227,173,189,83
gene-RGQ29_000193,138,111,432,557,225,197,665,297,221,469,372
gene-RGQ29_000192,2177,1336,1969,3444,854,3544,1918,1694,831,2635,1785
gene-RGQ29_000194,350,251,590,877,197,477,578,513,284,941,351
gene-RGQ29_000195,72,93,376,534,86,152,354,240,151,444,322
gene-RGQ29_000196,206,8,28,259,119,291,180,40,24,321,62
gene-RGQ29_000197,5,2,0,39,5,0,0,4,0,5,0
gene-RGQ29_000198,453,7080,2491,1746,782,820,2503,1567,1046,1468,1171
gene-RGQ29_000199,16,7,29,75,9,52,41,40,13,47,2
gene-RGQ29_000200,133,47,428,627,119,147,349,316,185,502,161
gene-RGQ29_000203,28,17,112,92,58,45,107,71,58,106,98
gene-RGQ29_000204,78,35,273,424,88,99,228,210,132,306,106
gene-RGQ29_000205,145,163,451,586,208,219,525,385,257,437,498
gene-RGQ29_000206,238,39,95,414,110,150,262,58,66,304,17
gene-RGQ29_000208,0,0,0,4,0,0,4,0,0,3,0
gene-RGQ29_000207,121,134,473,1002,234,311,586,285,265,807,524
gene-RGQ29_000209,858,675,2172,2985,579,3302,1620,1971,1254,3007,1552
gene-RGQ29_000210,1235,3098,1026,1368,366,1820,1080,761,400,1394,942
gene-RGQ29_000213,0,0,0,0,0,0,0,0,0,0,0
gene-RGQ29_000212,2,1,16,8,10,4,4,2,1,3,4
gene-RGQ29_000214,40,71,190,243,49,55,225,125,85,176,183
gene-RGQ29_000215,178,101,765,979,228,312,744,506,370,804,756
gene-RGQ29_000216,214,8,407,142,83,122,656,140,68,99,597
gene-RGQ29_000217,374,1165,597,525,116,287,376,351,247,511,804
gene-RGQ29_000219,3,3,0,6,0,0,0,0,0,36,0
gene-RGQ29_000221,36,72,209,192,102,185,338,110,70,261,405
gene-RGQ29_000222,273,1294,747,959,214,220,731,396,232,680,645
gene-RGQ29_000223,73,171,460,664,146,256,482,245,191,589,348
gene-RGQ29_000224,208,577,1722,1388,494,791,1639,1264,802,1903,1479
gene-RGQ29_000225,36,176,1279,161,355,124,984,634,531,76,219
gene-RGQ29_000228,487,810,1819,2486,435,1001,1138,1214,1064,2421,1641
gene-RGQ29_000230,112,91,260,277,110,192,236,111,122,250,136
gene-RGQ29_000231,49,24,16,34,0,15,50,23,7,101,203
gene-RGQ29_000232,0,0,5,2,0,0,3,0,0,11,0
gene-RGQ29_000236,417,282,774,1549,277,1427,683,540,336,1370,415
gene-RGQ29_000233,49,74,242,186,49,63,140,233,131,257,148
gene-RGQ29_000234,6,0,0,0,0,168,0,0,0,0,0
gene-RGQ29_000235,29,0,6,48,28,6,142,46,21,10,5
gene-RGQ29_000237,157,100,321,596,129,688,408,161,115,575,227
gene-RGQ29_000238,133,0,0,223,25,5,129,0,0,93,0
gene-RGQ29_000239,420,1990,397,295,98,84,273,269,134,197,119
gene-RGQ29_000240,66,200,13,88,14,21,33,22,18,65,84
gene-RGQ29_000241,55,13,18,87,21,97,42,12,10,80,73
gene-RGQ29_000243,115,281,873,725,294,293,733,567,399,691,409
gene-RGQ29_000244,21,0,18,42,11,23,32,17,6,42,134
gene-RGQ29_000245,112,99,113,798,67,211,265,74,68,534,531
gene-RGQ29_000246,482,1841,3094,2308,486,859,1616,2069,1222,2270,2670
gene-RGQ29_000247,369,68,316,742,240,1655,567,285,183,1085,237
gene-RGQ29_000248,54,3,30,27,5,49,42,27,16,30,11
gene-RGQ29_000249,522,1060,2801,3362,1304,814,2091,1860,1095,2159,20878
gene-RGQ29_000251,605,287,619,792,213,681,694,389,275,730,705
gene-RGQ29_000252,10,0,0,5,0,17,3,6,0,7,0
gene-RGQ29_000253,225,35,173,97,61,157,52,51,30,20,28
gene-RGQ29_000254,269,93,463,167,51,449,150,128,83,66,110
gene-RGQ29_000255,71,33,87,135,49,360,93,59,47,100,47
gene-RGQ29_000256,260,240,392,580,179,1559,479,363,172,518,258
